Filename,Depositos,Vendedores,Greedy_cost,Greedy_time,Greedy_free,Binpacking_cost,Binpacking_time,Binpacking_free,Swap(Greedy)_cost,Swap(Greedy)_time,Swap(Greedy)_free,Swap(Bin Packing)_cost,Swap(Bin Packing)_time,Swap(Bin Packing)_free,Relocate(Greedy)_cost,Relocate(Greedy)_time,Relocate(Greedy)_free,Relocate(Bin Packing)_cost,Relocate(Bin Packing)_time,Relocate(Bin Packing)_free,Swap+Relocate(Greedy)_cost,Swap+Relocate(Greedy)_time,Swap+Relocate(Greedy)_free,Swap+Relocate(Bin Packing)_cost,Swap+Relocate(Bin Packing)_time,Swap+Relocate(Bin Packing)_free,Relocate+Swap(Greedy)_cost,Relocate+Swap(Greedy)_time,Relocate+Swap(Greedy)_free,Relocate+Swap(Bin Packing)_cost,Relocate+Swap(Bin Packing)_time,Relocate+Swap(Bin Packing)_free,Tabu_cost,Tabu_time,Tabu_free,RVND_cost,RVND_time,RVND_free
a05100,5,100,1709,0.300041,0,3206,0.642708,0,1700,5.67192,0,1712,48.2527,0,1709,0.545874,0,1719,6.90946,0,1700,2.02358,0,1699,8.96271,0,1700,5.73554,0,1698,48.513,0,1698,22,0,1700,26.7144,0
a20100,20,100,1170,0.070708,0,2972,0.29625,0,1168,1.1115,0,1245,32.5086,0,1170,0.196458,0,1165,18.749,0,1168,1.25987,0,1163,19.4745,0,1167,1.33971,0,1161,36.1567,0,1163,48,0,1203,61.9431,0
a10100,10,100,1390,0.05125,0,2954,0.155958,0,1367,1.75696,0,1395,24.7897,0,1390,0.117834,0,1369,8.85408,0,1367,1.81146,0,1369,9.203,0,1365,1.92554,0,1363,25.5745,0,1369,22,0,1367,39.8941,0
a05200,5,200,3259,0.0775,0,6075,0.188166,0,3238,5.82983,0,3258,135.587,0,3259,0.154791,0,3236,15.0127,0,3238,5.96042,0,3235,17.4307,0,3238,5.90467,0,3235,136.153,0,3235,49,0,3235,130.073,0
a20200,20,200,2371,0.146666,0,5855,0.600042,0,2353,7.04658,0,2423,233.799,0,2371,0.382374,0,2357,73.4642,0,2353,7.29054,0,2354,77.603,0,2353,7.28033,0,2345,241.935,0,2349,202,0,2366,293.036,0
a10200,10,200,2670,0.114375,0,6183,0.310375,0,2632,14.453,0,2677,189.616,0,2670,0.25475,0,2636,36.2302,0,2632,14.6782,0,2633,40.1269,0,2628,14.8757,0,2629,191.891,0,2633,95,0,2642,197.864,0
b10200,10,200,8255,0.089542,42,6031,0.314959,0,7788,77.7673,42,3018,161.755,0,8255,0.187334,42,3075,27.859,0,7788,77.8246,42,2948,59.155,0,6779,78.9093,33,3007,161.943,0,2969,91,0,3246,132.212,0
b20200,20,200,3628,0.146,7,5860,0.598042,0,3335,56.6625,7,2464,237.683,0,3628,0.316833,7,2472,62.3583,0,3335,56.8945,7,2417,86.7633,0,2439,60.1275,0,2437,239.86,0,2359,150,0,2439,284.915,0
b05200,5,200,8050,0.067667,40,6059,0.187167,0,7487,69.949,40,3640,118.238,0,8050,0.131917,40,3984,9.63421,0,7487,70.3783,40,3615,49.9486,0,7444,70.1491,37,3640,118.309,0,3687,67,0,3927,79.8272,0
b10100,10,100,2115,0.05025,4,2980,0.157417,0,1952,6.86263,4,1464,27.7671,0,2115,0.103458,4,1483,7.94558,0,1952,6.90887,4,1443,11.4329,0,1500,7.25158,0,1439,28.052,0,1443,22,0,1466,30.4881,0
b20100,20,100,1660,0.076375,2,3006,0.297166,0,1512,5.21887,2,1329,30.5547,0,1660,0.171792,2,1225,17.1975,0,1512,5.32154,2,1201,20.1393,0,1396,5.55792,1,1221,32.9706,0,1195,37,0,1232,65.9127,0
